Rank,Title,Theaters,Total Gross,Release Date,Distributor,Year,title_clean,is_rerelease
161,The Son,554,449650,2023-01-20 00:00:00,Sony Pictures Classics,2023,the son,False
162,The Essential Church,301,412550,2023-07-28 00:00:00,Atlas Distribution Company,2023,the essential church,False
163,Mending the Line,403,379890,2023-06-09 00:00:00,Blue Fox Entertainment,2023,mending the line,False
164,CatVideoFest 2023,37,327584,2023-08-04 00:00:00,Oscilloscope,2023,catvideofest 2023,False
165,Go West,38,340017,2023-07-19 00:00:00,Purdie Distribution,2023,go west,False
166,Terrifier,853,339946,2023-07-19 00:00:00,Unknown,2023,terrifier,False
167,Selfiee,308,335775,2023-02-24 00:00:00,Unknown,2023,selfiee,False
168,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,34,335417,2023-12-30 00:00:00,Sony Pictures Entertainment (SPE),2023,turn every page: the adventures of robert caro and robert gottlieb,False
169,Wild Life,30,326184,2023-04-14 00:00:00,Picturehouse,2023,wild life,False
170,Children of the Corn,586,325583,2023-03-03 00:00:00,Unknown,2023,children of the corn,False
171,Waltair Veerayya,350,320000,2023-01-13 00:00:00,Unknown,2023,waltair veerayya,False
172,The Lesson,268,310746,2023-07-07 00:00:00,Unknown,2023,the lesson,False
173,Psycho-Pass: Providence,419,309757,2023-07-14 00:00:00,Crunchyroll,2023,psycho-pass: providence,False
174,UFC 291: Poirier vs. Gaethje 2,347,308825,2023-07-29 00:00:00,Unknown,2023,ufc 291: poirier vs. gaethje 2,False
175,Mirando Al Cielo,680,295539,2023-04-18 00:00:00,Fathom Events,2023,mirando al cielo,False
176,Joyland,38,302550,2023-04-07 00:00:00,Oscilloscope,2023,joyland,False
177,Passages,114,415827,2023-08-04 00:00:00,MUBI,2023,passages,False
178,Southern Gospel,600,293496,2023-03-10 00:00:00,Unknown,2023,southern gospel,False
179,School of Magical Animals,301,288414,2023-03-24 00:00:00,Blue Fox Entertainment,2023,school of magical animals,False
180,Dreamin' Wild,402,276672,2023-08-04 00:00:00,Roadside Attractions,2023,dreamin' wild,False
181,The Eight Mountains,51,302456,2023-04-28 00:00:00,Variance Films,2023,the eight mountains,False
182,Every Body,255,273860,2023-06-30 00:00:00,Focus Features,2023,every body,False
183,Empire of Light,436,1177577,2023-12-09 00:00:00,Searchlight Pictures,2023,empire of light,False
184,Born to Fly,74,277011,2023-04-28 00:00:00,Well Go USA Entertainment,2023,born to fly,False
185,RRR Fan CelebRRRation2023 Re-release,283,256566,2023-03-03 00:00:00,Variance Films,2023,rrr fan celebrrration2023 re-release,True
186,Malum,249,221738,2023-03-31 00:00:00,Unknown,2023,malum,False
187,All the Beauty and the Bloodshed,48,500082,2023-11-23 00:00:00,Unknown,2023,all the beauty and the bloodshed,False
188,Saint Omer,245,213953,2023-01-13 00:00:00,Neon,2023,saint omer,False
189,Afire,44,204620,2023-07-14 00:00:00,Sideshow Releasing,2023,afire,False
190,One Fine Morning,49,214470,2023-01-27 00:00:00,Sony Pictures Entertainment (SPE),2023,one fine morning,False
191,Lourdes2022 Re-release,624,197702,2023-02-08 00:00:00,Fathom Events,2023,lourdes2022 re-release,True
192,When You Finish Saving the World,403,196920,2023-01-20 00:00:00,A24,2023,when you finish saving the world,False
193,Landscape with Invisible Hand,304,193829,2023-08-18 00:00:00,Unknown,2023,landscape with invisible hand,False
194,"Lyle, Lyle, Crocodile",4350,46888441,2023-10-07 00:00:00,Sony Pictures Entertainment (SPE),2023,"lyle, lyle, crocodile",False
195,The Conformist2023 Re-release,7,180135,2023-01-06 00:00:00,Kino Lorber,2023,the conformist2023 re-release,True
196,Contempt4k Restoration - 60th Anniversary,8,173816,2023-06-30 00:00:00,Rialto Pictures,2023,contempt4k restoration - 60th anniversary,True
197,The Wrath of Becky,274,168109,2023-05-26 00:00:00,Quiver Distribution,2023,the wrath of becky,False
198,The Starling Girl,114,161290,2023-05-12 00:00:00,Bleecker Street Media,2023,the starling girl,False
199,¡Que viva México!,90,161222,2023-03-24 00:00:00,Sony Pictures Entertainment (SPE),2023,¡que viva méxico!,False
200,Enys Men,62,189579,2023-03-31 00:00:00,Unknown,2023,enys men,False
